node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:spank_chain_payment,Contract,spank_chain_payment,spank_chain_payment.sol,spank_chain_payment,,264,896,"{""_layers"": [""stage1_ast""], ""ast_id"": 3354, ""src"": ""11379:25007:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""LedgerChannel""}"
statevar:spank_chain_payment.NAME,StateVar,NAME,spank_chain_payment.sol,spank_chain_payment,,266,266,"{""_layers"": [""stage1_ast""], ""ast_id"": 836, ""src"": ""11410:46:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:spank_chain_payment.VERSION,StateVar,VERSION,spank_chain_payment.sol,spank_chain_payment,,267,267,"{""_layers"": [""stage1_ast""], ""ast_id"": 839, ""src"": ""11463:40:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:spank_chain_payment.numChannels,StateVar,numChannels,spank_chain_payment.sol,spank_chain_payment,,269,269,"{""_layers"": [""stage1_ast""], ""ast_id"": 842, ""src"": ""11511:30:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:spank_chain_payment.virtualChannels,StateVar,virtualChannels,spank_chain_payment.sol,spank_chain_payment,,377,377,"{""_layers"": [""stage1_ast""], ""ast_id"": 1024, ""src"": ""14561:57:0"", ""type"": ""mapping(bytes32 => struct LedgerChannel.VirtualChannel)"", ""visibility"": ""public""}"
statevar:spank_chain_payment.Channels,StateVar,Channels,spank_chain_payment.sol,spank_chain_payment,,378,378,"{""_layers"": [""stage1_ast""], ""ast_id"": 1028, ""src"": ""14625:43:0"", ""type"": ""mapping(bytes32 => struct LedgerChannel.Channel)"", ""visibility"": ""public""}"
function:spank_chain_payment.createChannel,Function,createChannel,spank_chain_payment.sol,spank_chain_payment,createChannel,380,418,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 1217, ""src"": ""14676:1898:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""LedgerChannel""}"
modifier:spank_chain_payment.createChannel.1,Modifier,modifier_1,spank_chain_payment.sol,spank_chain_payment,createChannel,380,418,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:spank_chain_payment.createChannel.1,Stmt,stmt_1,spank_chain_payment.sol,spank_chain_payment,createChannel,390,390,"{""_layers"": [""stage1_ast""], ""ast_id"": 1056, ""src"": ""14908:93:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:spank_chain_payment.createChannel.1.1,Require,require,spank_chain_payment.sol,spank_chain_payment,createChannel,390,390,"{""_layers"": [""stage1_ast""], ""ast_id"": 1055, ""src"": ""14908:93:0""}"
